name,slug,url
Anmei Group (安美集团),amer,https://amer.zhiye.com/Social
Beingmate,beingmate,https://beingmate.zhiye.com/Social
CASIC (China Aerospace Science & Industry),casic,https://casic.zhiye.com/Social
China Wuzhou Engineering Design,zhongguowuzhou,https://zhongguowuzhou.zhiye.com/Social
Deyi Dairy,deyi,https://deyi.zhiye.com/Social
Meinian Onehealth,health-100,https://health-100.zhiye.com/Social
New Hope Group,newhope,https://newhope.zhiye.com/index
Yum China,yumchina,https://yumchina.zhiye.com/Social
